"transcript_id","gene_id","gene_symbol"
"BambuTx18","BambuGene10307","BambuGene10307"
"BambuTx21","BambuGene12293","BambuGene12293"
"BambuTx24","BambuGene13491","BambuGene13491"
"BambuTx2","BambuGene1636","BambuGene1636"
"BambuTx27","BambuGene16971","BambuGene16971"
"BambuTx31","BambuGene18812","BambuGene18812"
"BambuTx33","BambuGene19505","BambuGene19505"
"BambuTx34","BambuGene19885","BambuGene19885"
"BambuTx5","BambuGene4698","BambuGene4698"
"BambuTx7","BambuGene6113","BambuGene6113"
"BambuTx11","BambuGene7241","BambuGene7241"
"BambuTx13","BambuGene8389","BambuGene8389"
"BambuTx15","BambuGene9641","BambuGene9641"
"ENST00000373020.9","ENSG00000000003.16","TSPAN6"
"ENST00000371582.8","ENSG00000000419.14","DPM1"
"ENST00000683010.1","ENSG00000000419.14","DPM1"
"ENST00000683048.1","ENSG00000000419.14","DPM1"
"ENST00000371588.10","ENSG00000000419.14","DPM1"
"ENST00000466152.5","ENSG00000000419.14","DPM1"
"ENST00000684193.1","ENSG00000000419.14","DPM1"
"ENST00000371584.9","ENSG00000000419.14","DPM1"
"ENST00000684628.1","ENSG00000000419.14","DPM1"
"ENST00000682754.1","ENSG00000000419.14","DPM1"
"ENST00000682713.1","ENSG00000000419.14","DPM1"
"ENST00000682366.1","ENSG00000000419.14","DPM1"
"ENST00000367771.11","ENSG00000000457.14","SCYL3"
"ENST00000367772.8","ENSG00000000457.14","SCYL3"
"ENST00000367770.5","ENSG00000000457.14","SCYL3"
"ENST00000413811.3","ENSG00000000460.17","FIRRM"
"ENST00000472795.5","ENSG00000000460.17","FIRRM"
"ENST00000496973.5","ENSG00000000460.17","FIRRM"
"ENST00000286031.10","ENSG00000000460.17","FIRRM"
"ENST00000367429.9","ENSG00000000971.17","CFH"
"ENST00000002165.11","ENSG00000001036.14","FUCA2"
"ENST00000650454.1","ENSG00000001084.13","GCLC"
"ENST00000509541.5","ENSG00000001084.13","GCLC"
"ENST00000510837.5","ENSG00000001084.13","GCLC"
"ENST00000514004.5","ENSG00000001084.13","GCLC"
"ENST00000515580.1","ENSG00000001084.13","GCLC"
"ENST00000353205.5","ENSG00000001167.15","NFYA"
"ENST00000341376.11","ENSG00000001167.15","NFYA"
"ENST00000497384.1","ENSG00000001460.18","STPG1"
"ENST00000475760.1","ENSG00000001460.18","STPG1"
"ENST00000438866.1","ENSG00000001460.18","STPG1"
"ENST00000003583.12","ENSG00000001460.18","STPG1"
"ENST00000337248.9","ENSG00000001460.18","STPG1"
"ENST00000488155.1","ENSG00000001461.18","NIPAL3"
"ENST00000003912.8","ENSG00000001461.18","NIPAL3"
"ENST00000374399.9","ENSG00000001461.18","NIPAL3"
"ENST00000475663.2","ENSG00000001461.18","NIPAL3"
"ENST00000432012.1","ENSG00000001461.18","NIPAL3"
"ENST00000374807.9","ENSG00000001497.18","LAS1L"
"ENST00000374811.8","ENSG00000001497.18","LAS1L"
"ENST00000677834.1","ENSG00000001497.18","LAS1L"
"ENST00000678848.1","ENSG00000001497.18","LAS1L"
"ENST00000679056.1","ENSG00000001497.18","LAS1L"
"ENST00000679277.1","ENSG00000001497.18","LAS1L"
"ENST00000678547.1","ENSG00000001497.18","LAS1L"
"ENST00000678823.1","ENSG00000001497.18","LAS1L"
"ENST00000676986.1","ENSG00000001497.18","LAS1L"
"ENST00000321037.5","ENSG00000001561.7","ENPP4"
"ENST00000002829.8","ENSG00000001617.12","SEMA3F"
"ENST00000434342.5","ENSG00000001617.12","SEMA3F"
"ENST00000413852.5","ENSG00000001617.12","SEMA3F"
"ENST00000265742.8","ENSG00000001629.10","ANKIB1"
"ENST00000465883.1","ENSG00000001629.10","ANKIB1"
"ENST00000691309.1","ENSG00000001630.18","CYP51A1"
"ENST00000003100.13","ENSG00000001630.18","CYP51A1"
"ENST00000450723.5","ENSG00000001630.18","CYP51A1"
"ENST00000458177.7","ENSG00000001631.17","KRIT1"
"ENST00000475770.6","ENSG00000001631.17","KRIT1"
"ENST00000692807.1","ENSG00000001631.17","KRIT1"
"ENST00000687135.1","ENSG00000001631.17","KRIT1"
"ENST00000687876.1","ENSG00000001631.17","KRIT1"
"ENST00000688180.1","ENSG00000001631.17","KRIT1"
"ENST00000686527.1","ENSG00000001631.17","KRIT1"
"ENST00000690529.1","ENSG00000001631.17","KRIT1"
"ENST00000690904.1","ENSG00000001631.17","KRIT1"
"ENST00000692690.1","ENSG00000001631.17","KRIT1"
"ENST00000693563.1","ENSG00000001631.17","KRIT1"
"ENST00000688196.1","ENSG00000001631.17","KRIT1"
"ENST00000412043.6","ENSG00000001631.17","KRIT1"
"ENST00000487168.2","ENSG00000001631.17","KRIT1"
"ENST00000686149.1","ENSG00000001631.17","KRIT1"
"ENST00000689556.1","ENSG00000001631.17","KRIT1"
"ENST00000692428.1","ENSG00000001631.17","KRIT1"
"ENST00000687517.1","ENSG00000001631.17","KRIT1"
"ENST00000422347.6","ENSG00000001631.17","KRIT1"
"ENST00000687627.1","ENSG00000001631.17","KRIT1"
"ENST00000489087.2","ENSG00000001631.17","KRIT1"
"ENST00000413688.6","ENSG00000001631.17","KRIT1"
"ENST00000452773.6","ENSG00000001631.17","KRIT1"
